Name,Owner,Hydro?,Type,Capacity,City
Aqueduct Transfere Hydro Station,Massachusetts Water Resource Authority,Y,Conventional Hydro,0.75,Southborough
Ashley Reservoir Hydro Station,"City of Pittsfield, MA",Y,Conventional Hydro,0.225,Pittsfield
Assabet,"Acton Hydro Company, Inc.",Y,Conventional Hydro,0.178,Acton
Beebe Holbrook,Holyoke Water Power Company,Y,Conventional Hydro,0.516,Holbrook
Boatlock,City of Holyoke Gas and Electric Dept.,Y,Conventional Hydro,3.1,Holyoke
Boott Hydropower,Boott Hydropower Inc,Y,Conventional Hydro,22.9,Lowell
Byron Weston,Crane and Company,Y,Conventional Hydro,0.25,Dalton
Cabot,FirstLight Power Resources Services LLC,Y,Conventional Hydro,61.8,Marshfield
Centennial Island,Centennial Island Hydroelectric Company,Y,Conventional Hydro,0.64,Methuen
Chemical,City of Holyoke Gas and Electric Dept.,Y,Conventional Hydro,1.6,Holyoke
Chicopee Hydroelectric Station,O'Connell Engineering&Fin Inc,Y,Conventional Hydro,2.4,Chicopee
Cobble Mountain,City of Holyoke Gas and Electric Dept.,Y,Conventional Hydro,33,Holyoke
Collins Facility,"Ampersand Collins Hydro, LLC",Y,Conventional Hydro,1.2,Wilbraham
Coltsville Flow Control Station,"City of Pittsfield, Massachusetts",Y,Conventional Hydro,0.066,Pittsfield
Cosgrove Intake and Power Station,Massachusetts Water Res Auth,Y,Conventional Hydro,3.2,Clinton
Crescent Mills,"Littleville Power Company, Inc.",Y,Conventional Hydro,1.5,Hampden
Crescent Street,L.S. Starrett Company,Y,Conventional Hydro,0.448,Athol
Cresticon Lower,L.P. Athol Corporation,Y,Conventional Hydro,0.25,Athol
Cresticon Upper,L.P. Athol Corporation,Y,Conventional Hydro,0.25,Athol
Crocker,"Whitman River Dam, Inc.",Y,Conventional Hydro,4.8,Westminster
Deer Island Treatment Plant,Massachusetts Wtr RAuth-Deer I,Y,Conventional Hydro,2,Winthrop
Deerfield No. 2,"GREAT RIVER HYDRO, LLC.",Y,Conventional Hydro,4.8,Deerfield
Deerfield No. 3,"GREAT RIVER HYDRO, LLC.",Y,Conventional Hydro,4.8,Deerfield
Deerfield No. 4,"GREAT RIVER HYDRO, LLC.",Y,Conventional Hydro,4.8,Deerfield
Deerfield No. 5,"GREAT RIVER HYDRO, LLC.",Y,Conventional Hydro,4.8,Deerfield
Dwight,"ESSENTIAL POWER MASSACHUSETTS, LLC",Y,Conventional Hydro,1.2,Chicopee
Fife Brook,Brookfield Power New England,Y,Conventional Hydro,11.2,Brookfield
Gardners Falls,"NAUTILUS HYDRO, LLC",Y,Conventional Hydro,3.5,Buckland
Glendale,"Littleville Power Company, Inc.",Y,Conventional Hydro,1.192,Housatonic
