Year,Month,Day,Hour,Minute,Temperature,Dew Point,GHI,Relative Humidity,Pressure,Wind Direction,Wind Speed
2020,1,1,0,0,-0.8,-0.8,0,100,976,239,0.1
2020,1,1,1,0,-0.6,-0.6,0,100,976,235,0.1
2020,1,1,2,0,-0.6,-0.6,0,100,975,234,0.1
2020,1,1,3,0,-0.6,-0.6,0,100,975,237,0.1
2020,1,1,4,0,-0.7,-0.7,0,100,975,245,0.1
2020,1,1,5,0,-1.1,-1.1,0,100,975,254,0.1
2020,1,1,6,0,-1.7,-1.7,0,100,975,258,0.1
2020,1,1,7,0,-2.2,-2.2,0,100,976,259,0.1
2020,1,1,8,0,-2.7,-2.8,0,99.28,976,261,0.1
2020,1,1,9,0,-3.6,-3.8,0,98.59,976,254,0.1
2020,1,1,10,0,-4.4,-4.6,0,98.14,976,248,0.2
2020,1,1,11,0,-4.5,-4.9,0,97.2,976,247,0.2
2020,1,1,12,0,-4.5,-4.9,0,96.86,976,247,0.2
2020,1,1,13,0,-3.6,-4,56,96.73,977,247,0.2
2020,1,1,14,0,-2.1,-2.6,183,96.72,978,248,0.2
2020,1,1,15,0,-0.8,-1.4,308,95.94,978,260,0.2
2020,1,1,16,0,-0.1,-0.7,221,95.56,977,266,0.2
2020,1,1,17,0,0.1,-0.5,209,95.73,977,269,0.2
2020,1,1,18,0,0.2,-0.5,358,95.36,977,271,0.2
2020,1,1,19,0,0,-0.4,284,97.1,978,273,0.2
2020,1,1,20,0,-0.3,-0.5,186,98.23,979,273,0.2
2020,1,1,21,0,-1.3,-1.4,43,98.95,980,275,0.2
2020,1,1,22,0,-1.9,-2.1,0,98.64,981,276,0.2
2020,1,1,23,0,-2.4,-2.6,0,98.36,982,276,0.2
2020,1,2,0,0,-2.9,-3.2,0,97.89,982,274,0.2
2020,1,2,1,0,-3.5,-3.9,0,97.21,983,270,0.2
2020,1,2,2,0,-4,-4.4,0,96.98,983,268,0.2
2020,1,2,3,0,-4.5,-4.9,0,97.05,983,267,0.2
2020,1,2,4,0,-5.1,-5.5,0,96.98,984,264,0.2
2020,1,2,5,0,-6.8,-7.3,0,96.4,984,259,0.1
2020,1,2,6,0,-8.3,-8.8,0,95.85,985,258,0.1
2020,1,2,7,0,-9,-9.6,0,95.17,985,254,0.1
2020,1,2,8,0,-8.8,-9.5,0,94.72,985,251,0.1
2020,1,2,9,0,-7.9,-8.7,0,93.83,986,245,0.1
2020,1,2,10,0,-7.2,-8,0,94.19,986,241,0.1
2020,1,2,11,0,-6.8,-7.6,0,94.22,986,236,0.1
2020,1,2,12,0,-6.5,-7.3,0,94.07,987,232,0.1
2020,1,2,13,0,-4.7,-5.5,34,93.97,987,224,0.1
2020,1,2,14,0,-2.1,-2.9,135,94.38,987,219,0.1
2020,1,2,15,0,-0.2,-1.1,265,93.96,986,223,0.1
2020,1,2,16,0,0.9,-0.1,333,93.34,986,226,0.2
2020,1,2,17,0,1.2,0.2,400,93.25,985,227,0.1
2020,1,2,18,0,1.4,0.6,374,94.12,985,223,0.1
2020,1,2,19,0,1.4,0.9,319,96.13,985,217,0.1
2020,1,2,20,0,1,0.9,180,99,985,215,0.2
2020,1,2,21,0,0.4,0.4,28,100,985,211,0.2
2020,1,2,22,0,0.2,0.2,0,100,985,203,0.2
2020,1,2,23,0,0.4,0.4,0,100,984,203,0.2
2020,1,3,0,0,0.3,0.3,0,100,984,202,0.2
2020,1,3,1,0,0.5,0.5,0,100,984,205,0.2
2020,1,3,2,0,0.6,0.6,0,100,984,211,0.2
2020,1,3,3,0,0.6,0.6,0,100,984,219,0.2
2020,1,3,4,0,0.7,0.7,0,100,984,226,0.1
2020,1,3,5,0,0.8,0.8,0,100,983,227,0.1
2020,1,3,6,0,0.7,0.7,0,100,982,225,0.1
2020,1,3,7,0,0.7,0.7,0,100,982,223,0.1
2020,1,3,8,0,1,1,0,100,983,235,0.1
2020,1,3,9,0,0.9,0.9,0,100,984,237,0.1
2020,1,3,10,0,0.5,0.5,0,100,983,230,0.1
2020,1,3,11,0,0.5,0.5,0,100,982,225,0.1
2020,1,3,12,0,0.8,0.8,0,100,983,232,0.1
2020,1,3,13,0,1.3,1.3,30,100,983,219,0.1
2020,1,3,14,0,2,2,139,100,983,222,0.1
2020,1,3,15,0,3.2,3,102,98.62,983,215,0.3
2020,1,3,16,0,4.5,3.9,145,95.75,982,221,0.4
2020,1,3,17,0,5,4.3,159,95.38,982,236,0.4
2020,1,3,18,0,5.1,4.6,106,96.68,981,228,0.4
2020,1,3,19,0,4.7,4.6,61,99.34,981,232,0.3
2020,1,3,20,0,3.3,3.3,66,100,982,243,0.3
2020,1,3,21,0,2,2,17,100,981,245,0.4
2020,1,3,22,0,1.7,1.7,0,100,982,257,0.1
2020,1,3,23,0,2,2,0,100,983,271,0.1
2020,1,4,0,0,1.8,1.8,0,100,983,273,0.1
2020,1,4,1,0,1.7,1.7,0,100,983,270,0.1
2020,1,4,2,0,1.7,1.7,0,100,983,271,0.1
2020,1,4,3,0,1.7,1.7,0,100,983,282,0.2
2020,1,4,4,0,1.8,1.8,0,100,983,294,0.3
2020,1,4,5,0,1.8,1.8,0,100,982,314,0.4
